title,author,categories,description,language,pageCount,averageRating,ratingsCount,publisher,publishedDate
The Water-Babies,Charles Kingsley,Fiction,"Publicada dos años antes que Alicia en el País de las Maravillas, Los niños del agua se ha confundido a menudo con un relato meramente infantil aunque, al igual que la novela de Lewis Carroll, supera con creces cualquier barrera de edad. Adaptada al cine por Walt Disney en 1935, narra la historia de Tom, un deshollinador de 10 años, explotado cruelmente por su amo Grimes, que cae por la chimenea de una casa de campo a donde ha sido llevado a trabajar. El accidente provoca un enorme revuelo y Tom huye hacia un estanque en el que, aparentemente, se ahoga. Pero no muere y se transforma en un niño del agua, que deberá madurar con la ayuda de las hadas y las criaturas marinas hasta convertirse en un nuevo ser más libre y responsable. Kingsley introduce en la novela todos los asuntos de la vida que le interesaban: Con una arquitectura soprendente, intenta entablar un diálogo con el lector en el que todo es posible gracias a la fantasía. Indaga en la naturaleza como reflejo de la realidad divina y aporta algunas ideas respecto a la degeneración de las especies que tardarían más de un cuarto de siglo en ser aceptadas. En 1889 se publicó una edición especial ilustrada por Linley Sambourne con dibujos tan fantásticos, inquietantes y sorprendentes como el texto. Todos ellos se han incluido, por primera vez en España, en este volumen.",es,304,,,,2007
Les Misérables,Victor Hugo,History,"This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",en,364,,,Wentworth Press,2018-08-08
Fathers and Sons,Ivan Turgenev,Fiction,"Turgenev's masterpiece about the conflict between generations is as fresh, outspoken, and exciting today as it was in when it was first published in 1862. The controversial portrait of Bazarov, the energetic, cynical, and self-assured `nihilist' who repudiates the romanticism of his elders, shook Russian society. Indeed the image of humanity liberated by science from age-old conformities and prejudices is one that can threaten establishments of any political or religious persuasion, and is especially potent in the modern era. This new translation, specially commissioned for the World's Classics, is the first to draw on Turgenev's working manuscript, which only came to light in 1988. ABOUT THE SERIES: For over 100 years Oxford World's Classics has made available the widest range of literature from around the globe. Each affordable volume reflects Oxford's commitment to scholarship, providing the most accurate text plus a wealth of other valuable features, including expert introductions by leading authorities, helpful notes to clarify the text, up-to-date bibliographies for further study, and much more.",en,399,,,OUP Oxford,1998-03-05
Silas Marner,George Eliot,Fiction,"Silas Marner es un viejo tejedor que lo ha perdido todo. Expulsado de su ciudad natal por un robo que él no cometió, tratará de abrirse paso en el pequeño pueblo de Raveloe, dedicándose en cuerpo y alma a su oficio. Así transcurrirán los años hasta que un día su vida tranquila y solitaria se verá interrumpida por Eppie, una niña abandonada a la que adopta, sin saber que esta nueva felicidad se verá amenazada por su pasado. Llena de emoción y complejidad psicológica, Silas Marner (1861) es una de las obras más célebres de Mary Anne Evans (1819-1880), novelista, ensayista y poeta poseedora de un vasto universo íntimo. Amiga de los pensadores más influyentes de su tiempo, desde Marx hasta Spencer, y admirada por Emily Dickinson, Henry James y Virginia Woolf, Mary Anne se convirtió en la escritora más importante de la época victoriana en Inglaterra. Evans, como otras tantas escritoras, tuvo que escapar de los estereotipos que su tiempo reservaba para su género usando un seudónimo masculino. La colección Reveladas las llama por su nombre.",es,209,,,Destino México,2019-09-13
Great Expectations,Charles Dickens,Fiction,"Es considerada como una de sus ms̀ grandes y sofisticadas novelas, as ̕como tambiň una de las ms̀ populares, siendo esta adaptada a obras teatrales y cinematogrf̀icas. La historia puede tambiň ser considerada como una semi-autobiografa̕ de Dickens, al igual que muchas de sus obras, en la cual mezcla sus experiencias de vidas con su entorno social. La novela narra la historia del huřfano Pip, quien describe su vida desde su nięz hasta su madurez tratando de convertirse en un hombre de nobleza a lo largo de su vida. Vive con su hermana y su cuądo, a quien ayuda en su taller de herrera̕. Cuando la rica Miss Havisham requiere a Pip como acompaąnte de ella y de su hija, el joven se dar ̀cuenta de las penurias de su clase social y desear ̀subir posiciones en el escalafn̤ social. Pip recibir ̀entonces la visita de un abogado de Londres, quien le informar ̀que un benefactor ann̤imo le quiere convertir en un caballero. Pip descubrir ̀que el valor de la amistad y de la moral no se puede comprar con dinero. La trama de la historia toma lugar desde la vs̕pera de Navidad de 1812, cuando el protagonista tiene solo siete aǫs de edad, hasta el invierno de 1840.",es,645,,,e-artnow,2013-07-31
One the Eve,Ivan Turgenev,Fiction,"En Relatos fantásticos el maestro del realismo ruso nos sumerge en mundos donde la frontera entre lo natural y lo sobrenatural se diluye en medio de sugestiones y enigmas que perduran después de su lectura. Iván Turguéniev es uno de los grandes nombres del realismo ruso, pero aquí el lector se sorprenderá con un Turguéniev casi desconocido. Estas historias, prácticamente desconocidas para el lector hispanoparlante, lo revelan también como uno de los grandes escritores de relatos fantásticos. En los nueve relatos que integran esta selección, el genial autor ruso logra con destreza esa condición que Todorov considera inherente al género fantástico: los personajes no sólo se desconciertan, dudan, se preguntan si aquello que viven en realidad sucede, o bien es producto del sueño o la imaginación; también contagian esa duda a quien lee. Iván Turguéniev, maestro indiscutible de la escritura elegante, amigo de Flaubert y Tolstói, es sin duda uno de los más notables autores de la fecunda literatura rusa del siglo XIX.",es,302,,,Adriana Hidalgo Editora,2023-08-07
Castle Richmond,Anthony Trollope,Great Britain,,en,364,,,,1860
The Mill on the Floss,George Eliot,,,es,0,,,,1948
The Woman in White,Wilkie Collins,Fiction,"Este ebook presenta ""La dama de blanco"" con un sumario dinámico y detallado. La dama de blanco (The Woman in White) es una novela epistolar escrita por Wilkie Collins en 1859, serializada de 1859 a 1860 y publicada por primera vez en forma de libro ese último año. Está considerada como una de las primeras novelas de misterio y como un ejemplo precoz de la novela policíaca, con el héroe, Walter Hartright, empleando muchas de las técnicas propias de los detectives privados. Walter Hartright se traslada a Limmeridge para dar clases de dibujo a Laura, una joven y rica heredera sobrina del barón Frederick Fairlie. Poco antes de irse, tropieza con una misteriosa dama vestida de blanco que le habla de Limmeridge y de su propietaria fallecida, la señora Fairlie. Desde el principio Walter siente una gran atracción por Laura, quien está prometida con Sir Percival Glyde, quien solo busca arrebatarle su herencia. Solo se interpone en su camino la misteriosa dama de blanco. William Wilkie Collins (1824 - 1889) fue un novelista, dramaturgo y autor de relatos cortos inglés. Fue muy popular en su tiempo, dejando escritas 27 novelas, más de 60 relatos cortos, al menos 14 obras de teatro y más de 100 obras de no ficción. Es considerado uno de los creadores del género de novela policíaca, a través de una narrativa caracterizada por la atmósfera de misterio y fantasía, el suspense melodramático y el relato minucioso.",es,776,,,e-artnow,2015-07-15
The Marble Faun,Nathaniel Hawthorne,Fiction,"Nathaniel Hawthorne (1804–1864) was an American novelist, dark romantic, and short story writer. Hawthorne’s awesome novel of Americans abroad, the fi rst novel to explore the infl uence of European cultural ideas on American morality. Hawthorne is concerned here with the nature of transgression and guilt. A murder, motivated by love, affects not only Donatello, the murderer, but his beloved Miriam and their friends Hilda and Kenyon.",en,527,,,Рипол Классик,
Max Havelaar,Multatuli,Fiction,"A fierce indictment of colonialism, Max Havelaar is a masterpiece of Dutch literature based on the author's own experience as an adminstrator in the Dutch East Indies in the 1850s. A brilliantly inventive fiction that is also a work of burning political outrage, Max Havelaar tells the story of a renegade Dutch colonial administrator’s ultimately unavailing struggle to end the exploitation of the Indonesian peasantry. Havelaar’s impassioned exposé is framed by the fatuous reflections of an Amsterdam coffee trader, Drystubble, into whose hands it has fallen. Thus a tale of the jungles and villages of Indonesia is interknit with one of the houses and warehouses of bourgeois Amsterdam where the tidy profits from faraway brutality not only accrue but are counted as a sign of God’s grace. Multatuli (meaning “I have suffered greatly”) was the pen name of Eduard Douwes Dekker, and his novel caused a political storm when it came out in Holland. Max Havelaar, however, is as notable for its art as it is for its politics. Layering not only different stories but different ways of writing—including plays, poems, lists, letters, and a wild accumulation of notes—to furious, hilarious, and disconcerting effect, this masterpiece of Dutch literature confronts the fixities of power with the protean and subversive energy of the imagination.",en,385,,,New York Review of Books,2019-03-05
A Tale of Two Cities,Charles Dickens,Children's stories,"Fast-moving and accessible, each story in this series is a shortened, illustrated version of the classic novel, which loses none of the strength and flavour of the original. Each book also contains biographical details of the original author, and a glossary of unusual words and activity suggestions.",en,58,,,Evans Brothers,2011-07-31
Oblomov,Ivan Goncharov,Juvenile Fiction,"Oblomov Ivan Aleksandrovich Goncharov - Oblomov is the best known novel by Russian writer Ivan Goncharov, first published in 1859. Oblomov is also the central character of the novel, often seen as the ultimate incarnation of the superfluous man, a symbolic character in 19th-century Russian literature. Oblomov was compared to Shakespeare's Hamlet as answering 'No!' to the question ""To be or not to be?"" Oblomov is a young, generous nobleman who seems incapable of making important decisions or undertaking any significant actions. Throughout the novel he rarely leaves his room or bed and famously fails to leave his bed for the first 150 pages of the novel. The book was considered a satire of Russian nobility whose social and economic function was increasingly in question in mid-nineteenth century Russia.",en,179,,,Phoemixx Classics Ebooks,2021-09-26
Adam Bede,George Eliot,Fiction,"""Adam Bede"" fue la más vendida y leída de las novelas de George Eliot, pseudónimo de la escritora Mary Ann Evans. Sus relatos y novelas figuran entre lo más escogido de la literatura victoriana. En esta novela, la autora quiso trasladar fielmente a sus lectores una realidad histórica que combinaba el ambiente shakesperiano de la Inglaterra rural con la épica miltoniana reavivada por la fe metodista.",es,624,,,"Comercial Grupo ANAYA, S.A.",2020-10-22
Madame Bovary,Gustave Flaubert,Education,"La soñadora Emma, una joven de provincias casada con Charles Bovary, quien la ama pero es incapaz de comprenderla y satisfacerla, buscará la realización de sus sueños en otros amores, pasionales y platónicos..., pero ninguno de ellos logrará calmar su desesperada ansiedad y sus románticas inquietudes. La publicación de MADAME BOVARY (1856) provocó el escándalo de la burguesía francesa, esclava de mil prejuicios, y el proceso judicial que siguió contribuyó a un éxito editorial sin precedentes. Flaubert veía así cómo su obra servía más para satisfacer el morbo que para deleitarse en el caudal narrativo que contenía. Hoy MADAME BOVARY es considerada el auténtico pórtico de la modernidad literaria. El omnipresente narrador teje con un rigor documental una sólida trama en la que la técnica de la narración, la descripción, el análisis de caracteres y el diálogo son trabajados minuciosamente y en una interrelación perfecta. Juan Bravo Castillo, de la Universidad de Castilla-La Mancha, ofrece en su edición un completo estudio en el que aporta interesantes ideas sobre la novela, al tiempo que su traducción nos adentra en la insondable riqueza de las páginas de esta obra maestra de la estética realista.",es,448,,,,1999-12-01
North and South,Elizabeth Gaskell,Fiction,"This is one of the earliest novels of industrial alienation, tellingly linked to the plight of 19th-century women. It tells of the relationship between Margaret Hale, a girl from the old rural south, and John Thornton, a mill owner from the new industrial north.",en,452,,,Wordsworth Editions,1994
Hard Times,Charles Dickens,,,en,358,,,,1995-02-01
Walden,Henry David Thoreau,Fiction,"Cuando escribí las páginas que siguen, o más bien la mayoría de ellas, vivía solo en los bosques, a una milla del vecino más próximo, en una cabaña que construí yo mismo junto a la orilla de la laguna de Walden, en Concord, Massachusetts, al tiempo que me ganaba el sustento con la labor de mis manos. Allí viví dos años y dos meses. Heme aquí de nuevo en la civilización. No impondría mis cosas a la atención de los lectores de no haber sido por las pesquisas, que algunos considerarán impertinentes, y yo no, dadas las circunstancias, llevadas a cabo por mis conciudadanos en cuanto a mi modo de vida. Algunos querían saber qué comía; otros, si me sentía solo, si tenía miedo y cosas parecidas. Los ha habido interesados en averiguar qué parte de mis ingresos dedicaba a fines benéficos; otros, que, dotados de abundante familia, deseaban conocer el número de niños pobres a mi cargo. Me excuso, pues, ante aquellos lectores poco interesados en mi persona, por tratar de dar respuesta a alguna de estas preguntas en las páginas que siguen. En la mayoría de libros, el yo o primera persona es omitido; en éste se conserva; en cuanto a egoísmo, esa es la principal diferencia. Es corriente olvidarse de que, a fin de cuentas, es siempre la primera persona la que habla. Y yo no diría tanto de mí si hubiera quien me conociera mejor. Desgraciadamente, me veo reducido a este tema por la parvedad de mi experiencia. Más aun, por mi parte requiero de cada escritor, primero o último, un sencillo y sincero relato de su vida, y no tan sólo lo que ha oído de la de otros; algo así como lo que participaría a los suyos desde tierras lejanas; pues, si ha vivido sinceramente, debe haber sido en un lugar alejado de aquí.",es,226,,,BoD - Books on Demand,2023-04-24
Bleak House,Charles Dickens,Literary Collections,Estamos especializados en publicar textos en español. Para encontrar mas títulos busque “NoBooks Editorial” o visite nuestra web http://www.nobooksed.com Contamos con mas volúmenes en español que cualquier otra editorial en formato electrónico y continuamos creciendo.,es,756,,,NoBooks Editorial,2009-01-01
Villete,Charlotte Bronte,Fiction,"Procedente del áspero y salvaje ámbito de ""la Montaña"" y acogida de pequeña por el matrimonio Royall, la joven Charity vive ahora con su tutor ya viudo, el abogado Royall, en North Dormer, un minúsculo pueblo de Nueva Inglaterra roído por el tedio. La visita de Lucius Harney, un joven arquitecto, despierta en ella la ilusión del amor y del deseo, así como la de una nueva vida lejos de la asfixiante atmósfera local y de los incómodos requerimientos de su tutor. Sin embargo, el curso de los acontecimientos y la clara, aunque dolorosa, conciencia de su posición y de sus intereses llevarán a Charity a aceptar una inapelable lección de realidad.",es,200,,,"Comercial Grupo ANAYA, S.A.",2017-03-23
Cranford,Elizabeth Gaskell,Fiction,"""Cranford"" is a timeless novel written by Elizabeth Cleghorn Gaskell and first published in 1851-1853 in serialized form in a literary magazine. Set in the fictional town of Cranford, the story provides a delightful and charming portrayal of the lives and experiences of the town's predominantly female inhabitants. Gaskell skillfully weaves together a collection of episodic tales to create a vivid and intimate picture of the tightly-knit community of Cranford. Through the perspective of the novel's narrator, Mary Smith, we are introduced to a group of eccentric and endearing characters, including Miss Matty Jenkyns, Miss Deborah Jenkyns, and Miss Pole, among others. Each character possesses their own unique quirks and idiosyncrasies, which contribute to the warm and humorous atmosphere of the novel. Despite the seemingly mundane and quiet setting, ""Cranford"" explores a range of themes deeply relevant to the social fabric of 19th-century England. Gaskell touches upon social class, gender roles, societal expectations, and the spirit of friendship and community. The novel presents a nuanced and compassionate portrayal of the challenges faced by women in a society that limited their opportunities and agency. With its emphasis on human connection and the importance of relationships, ""Cranford"" explores the power of friendship and the bonds that can form in even the most unexpected circumstances. The characters navigate the complexities of societal conventions with resilience, wit, and compassion, demonstrating the strength and resilience of the human spirit. Gaskell's writing is marked by her keen observations and attention to detail, inviting readers into the intricacies of life in Cranford. While the novel exudes a gentle and nostalgic tone, it also offers subtle moments of social commentary and critiques the rigidity of societal norms. ""Cranford"" continues to captivate readers with its timeless themes, endearing characters, and its ability to transport us to a bygone era. Gaskell's masterful storytelling invites us to immerse ourselves in the everyday lives of the residents of Cranford, reminding us of the enduring power of community, friendship, and the capacity to find joy in the simplest of moments.",en,180,,,Aegitas,2023-11-27
Uncle Tom's Cabin,Harriet Beecher Stowe,,,es,332,3.5,3,,1853
The Blithedale Romance,Nathaniel Hawthorne,,"Why buy our paperbacks? Printed in USA on High Quality Paper Standard Font size of 10 for all books Fulfilled by Amazon Expedited shipping 30 Days Money Back Guarantee Unabridged (100% Original content) BEWARE OF LOW-QUALITY SELLERS Don't buy cheap paperbacks just to save a few dollars. Most of them use low-quality papers & binding. Their pages fall off easily. Some of them even use very small font size of 6 or less to increase their profit margin. It makes their books completely unreadable. About The Blithedale Romance by Nathaniel Hawthorne The Blithedale Romance (1852) is Nathaniel Hawthorne's third major romance. In Hawthorne (1879), Henry James called it ""the lightest, the brightest, the liveliest"" of Hawthorne's ""unhumorous fictions.""The story takes place primarily in the utopian community of Blithedale, presumably in the mid-1800s. The main character, Miles Coverdale, embarks on a quest for the betterment of the world through the agrarian lifestyle and community of the Blithedale Farm. The story begins with a conversation between Coverdale and Old Moodie, a character who reappears throughout the story. The legend of the mysterious Veiled Lady is introduced; she is a popular clairvoyant who disappears unannounced from the social scene. Coverdale then makes the voyage to Blithedale, where he is introduced to such characters as Zenobia and Mr. and Mrs. Silas Foster. At their first community dinner they are interrupted by the arrival of Hollingsworth, a previous acquaintance of Coverdale's, who is carrying a frail, pale girl. Though Hollingsworth believes the girl (whose age is never clarified) is an expected guest, none of the Blithedale citizens recognize her. She immediately develops a strong attachment to Zenobia, and reveals her name to be Priscilla.",en,204,,,,2016-12-15
The House of the Seven Gables,Nathaniel Hawthorne,Fiction,"First published in 1851, The House of the Seven Gables is one of Hawthorne's defining works, a vivid depiction of American life and values replete with brilliantly etched characters. The tale of a cursed house with a "" mysterious and terrible past"" and the generations linked to it, Hawthorne's chronicle of the Maule and Pyncheon families over two centuries reveals, in Mary Oliver's words, "" lives caught in the common fire of history."" This Modern Library Paperback Classics edition uses the definitive text as prepared for The Centenary Edition of the Works of Nathaniel Hawthorne; this is the Approved Edition of the Center for Scholarly Editions (Modern Language Association). It includes newly commissioned notes on the text.",en,348,,,Dutton Books,1907
Mo by Dick,Herman Melville,Fiction,"El narrador, Ismael, es un joven estadounidense con experiencia en la marina mercante, decide que su siguiente viaje será en un ballenero. De igual forma se convence de que su travesía debe comenzar en Nantucket, Massachusetts, isla prestigiosa durante el siglo xix por su industria ballenera. Antes de alcanzar su destino, o el origen de su aventura, Ismael entabla amistad con el experimentado arponero polinesio Queequeg, con quien acuerda compartir la empresa. Ambos se enrolan en el ballenero Pequod, con una tripulación conformada por marineros de las más diversas nacionalidades y razas; precisamente sus arponeros son Queequeg, el piel roja Tashtego y el «negro salvaje» Daggoo. El Pequod es dirigido por el misterioso, violento, y autoritario capitán Ahab, un viejo y muy respetado lobo de mar, con décadas de experiencia en la vida marinera, y sobre todo con una pierna tallada de la mandíbula de un cachalote. El irascible Ahab revelará a su tripulación que el objetivo primordial del viaje, más allá de la caza de ballenas en general, es la persecución tenaz a la ballena blanca Moby Dick, enorme leviatán que lo privó de su pierna hace años, siendo que este monstruoso cetáceo había ganado fama de causar estragos a todos y cada uno de los balleneros que, osada o imprudentemente, habían intentado darle caza. Con el pasar del tiempo, Ahab se obsesiona cada vez más con la captura de Moby Dick, menospreciando los peligros de la caza ballenera, y poniendo en riesgo constante la vida de la tripulación en un recorrido por numerosos océanos. Los marineros, tan fascinados por Moby Dick como temerosos de la ira de Ahab, siguen a su capitán sin dudas ni reparos, hasta un final terrible y épico presidido con otro epígrafe bíblico, esta vez tomado del Libro de Job.",es,1508,,,Century Carroggio,2023-03-27
The Scarlet Letter,Nathaniel Hawthorne,Literary Collections,"Por primera vez en castellano, en una cuidada edición a cargo de Lorenzo Luengo, Siruela publica los diarios de Sophia y Nathaniel Hawthorne entre los años 1842 y 1843, retrato vívido de una época que marcó el rumbo de la literatura y la filosofía de nuestro tiempo. Diarios en la vieja rectoría es un acercamiento al primer año de convivencia del célebre escritor Nathaniel Hawthorne y su esposa Sophia, cuando, recién casados, se instalaron en una casa de Concord. Es también la exploración de un entorno aún por descubrir, de un paisaje, natural y cultural, donde coincidieron personalidades tan destacadas como Thoreau y Emerson, figuras capitales del pensamiento trascendentalista. Esta filosofía, surgida en parte como reacción al impacto que tuvo la Revolución Industrial sobre la naturaleza y el orden social, se manifiesta en estas páginas en esa forma a veces sobrecogida, a veces exaltada, con que el matrimonio cuida cada retazo del jardín, los frutos de la tierra y las orillas del río que pasa junto a su hogar, en lo que supone una lección moral, elegantemente descrita y con una profundidad tan sabia como enternecedora, para nuestros días. Alternando sus voces —la soñadora y enigmática de Nathaniel, la sorprendentemente profunda y encantadora de Sophia—, nos descubren el esplendor y la extrañeza que presenta nuestra realidad más cercana cuando la mirada se detiene sobre ella con devoción y cuidado. Nos enseñan el valor de la quietud, las inesperadas recompensas de la pausa. Como apunta la introducción a estos diarios, «el mundo del mañana tenía para ellos la belleza de sus mejores sueños, y las páginas que escribieron cuando soñaban con nosotros siguen siendo todavía maravillosamente jóvenes».",es,217,,,Siruela,2022-01-26
David Copperfield,Charles Dickens,,"Difícilmente podré alejarme lo bastante de este libro, to¬davía en las primeras emociones de haberlo terminado, para considerarlo con la frialdad que un encabezamiento así re-quiere. Mi interés está en él tan reciente y tan fuerte y mis sentimientos tan divididos entre la alegría y la pena (alegría por haber dado fin a mi tarea, pena por separarme de tantos compañeros), que corro el riesgo de aburrir al lector, a quien ya quiero, con confidencias personales y emociones ínti¬mas.",es,542,,,,2018-03-03
Shirley,Charlotte Bronte,Fiction,"El otro día, al revisar mis papeles, hallé en mi mesa la siguiente copia de una carta que envié, un año ha, a un viejo conocido del colegio. Querido Charles: Creo que cuando tú y yo estuvimos juntos en Eton no éramos lo que podría llamarse personajes populares; tú eras un ser sarcástico, observador, perspicaz y frío; no intentaré trazar mi propio retrato, pero no recuerdo que fuera especialmente atractivo, ¿y tú? Desconozco qué magnetismo animal nos unió; desde luego, yo jamás albergué por ti sentimiento alguno que se pareciera al de Pilades y Orestes, y tengo razones para creer que, por tu parte, estabas igualmente lejos de cualquier sentimiento romántico. No obstante, fuera de las horas lectivas, estábamos siempre juntos, charlando y paseando; cuando el tema de conversación eran nuestros compañeros o nuestros maestros, nos comprendíamos mutuamente, y cuando yo recurría a alguna expresión de afecto, a un aprecio vago por algo excelente o hermoso, tanto si era de naturaleza animada como inanimada, tu sardónica frialdad no me impresionaba; entonces, como ahora, me sentía superior a tal freno. Ha pasado mucho tiempo desde que te escribí y más aún desde que nos vimos; el otro día, hojeando casualmente un periódico de tu condado, mis ojos fueron a dar con tu nombre. Empecé a pensar en los viejos tiempos, a repasar los acontecimientos ocurridos desde que nos separamos y me senté para escribir esta carta; no sé cuáles han sido tus ocupaciones, pero oirás, si decides escucharme, cómo el mundo me ha tratado a mí.",es,200,,,BoD - Books on Demand,2023-05-20
Mary Barton,Elizabeth Gaskell,Fiction,"«Hay en Mary Barton, sí, muchas muertes y desgracias; pero, tras esa desolación, subyace la esperanza de una vida mejor, fundada en el poderoso aliento de los lazos familiares y en la sencilla máxima que proclama uno de los personajes: «Los fuertes tienen el deber de ayudar a los débiles».» Alberto de Frutos Por sus obligaciones como mujer de un pastor unitario, Elizabeth Gaskell hubo de conocer de primera mano las condiciones de vida de los obreros de Manchester y las consecuencias de la revolución Industrial. «Dar voz al sufrimiento que de vez en cuando se abate sobre esas persona mudas» e intentar conciliar sus intereses con los de los altivos patronos fue el propósito de su primera novela, Mary Barton (1848). «Quiero trabajo, es mi derecho», clama uno de sus protagonistas: en este ambiente de tensión social, agravado por la pobreza y el desempleo, se inscribe la peripecia de una muchacha que coquetea con el apuesto hijo del patrono y desprecia al pretendiente –un antiguo compañero de juegos de la infancia, honrado e inteligente– que daría su vida por ella. Un crimen inesperado somete a la heroína a un dilema crucial y la obliga a reconocer, quizá cuando ya sea demasiado tarde, sus verdaderos sentimientos. Una trama llena de situaciones límite, una escritura cultivada y puntillosa y unos personajes descritos con simpatía y vigor realzan el valor de esta novela. Con ella, Elizabeth Gaskell hizo su brillante y polémico debut en la escena literaria inglesa y enseguida fue reclutada por Dickens para que escribiera en su revista Household Words.",es,590,,,ALBA Editorial,2012-03-22
The Tenant of Wildfell Hall,Ann Bronte,Fiction,"Después de muchos años de abandono, una nueva inquilina, Helen Graham, y su hijo pequeño llegan a la mansión de Wildfell Hall. Se trata de una mujer que parece ser viuda y cuyo carácter reservado y opiniones extrañas comienzan a causar recelos entre sus vecinos. La nueva propietaria de la casa es además una mujer con una enigmática y triste belleza que provoca la admiración de un joven e impetuoso agricultor y cuyo tortuoso pasado, cuando se desvela, sobrepasa el peor de los rumores que circulan sobre ella. La inquilina de Wildfell Hall, segunda y última novela de Anne Brontë, retrata, junto a un amor prohibido, el fracaso de un matrimonio dominado por el abuso y la violencia. Pubicada por primera vez en 1848 con el pseudónimo de Acton Bell, está considerada además como una de las primeras novelas feministas.",es,496,,,Editorial Verbum,2021-10-21
Wuthering Heights,Emily Bronte,Fiction,"Este ebook presenta ""Cumbres borrascosas"", con un indice dinm̀ico y detallado. Cumbres Borrascosas es la?nica novela de Emily Bront?. Fue publicada por primera vez en 1847 bajo el seudn̤imo de Ellis Bell. Su hermana Charlotte edit ̤una segunda edicin̤ ps̤tuma. Es una historia de pasiones inusuales y descarnadas. El libro sorprendi ̤a la sociedad victoriana por su osada̕ y agudeza. Es la historia del amor imposible entre Heathcliff, que fue adoptado por una familia acomodada, y la hija menor de esa familia. Tiene una estructura narrativa sumamente innovadora, compleja pero totalmente accesible, que se compara generalmente con las matrioskas rusas.",es,328,,,e-artnow,2013-07-31
Agnes Grey,Ann Bronte,Poetry,"La breve vida de Anne Brontë, que no llegó a los treinta años, cundió lo suficiente para publicar dos novelas que hoy se consideran clásicas (Agnes Grey y La inquilina de Wildfell Hall) y para desarrollar una intensa carrera poética, en alianza con sus dos famosas hermanas mayores, Charlotte y Emily. Juntas inventaron el mundo mítico de Gondal, un espacio dominado por la intriga política y las pasiones desatadas, poblado por héroes y heroínas de factura clásica; y juntas publicaron una selección de sus poemas fingiendo ser los «hermanos Bell». En este volumen reunimos, por primera vez en castellano, todos los poemas que se conocen escritos de puño y letra de Anne Brontë, traducidos, con elegancia y precisión, por Xandru Fernández. En ellos se reconoce un gusto por la aventura y una sensibilidad extrema por el paisaje, que con los años van profundizando en la introspección y en el examen moral, todo empapado de la característica melancolía que también encontramos en sus novelas. Es como si de alguna manera fuese capaz de anticipar su temprana muerte y la de sus queridas hermanas. De esta manera completamos el proyecto de ofrecer por primera vez en español la panorámica completa de la poesía de las tres hermanas Brontë. Uno de los monumentos de la literatura romántica inglesa y una experiencia literaria ineludible para lectores sensibles y atrevidos.",es,324,,,ALBA Editorial,2021-09-08
Jane Eyre,Charlotte Bronte,Charity-schools,,en,,,,,1973
Vanity Fair,William Makepeace Thackery,,,es,644,1,1,,1860
The Count of Monte Cristo,Alexandre Dumas,Biography & Autobiography,"Después de El orientalista, un bestseller mundial, Tom Reiss nos brinda El conde negro, la original biografía de uno de los grandes héroes olvidados de la Historia, a pesar de que su vida nos resulte inesperadamente familiar. Sus proezas se narran en Los tres mosqueteros, y sus victorias y padecimientos inspiraron El conde de Montecristo, dos novelas escritas por su hijo, Alexandre Dumas. El general Alex Dumas merece ocupar un lugar entre los grandes por un motivo muy singular: fue el único de su raza que estuvo al frente de poderosos ejércitos durante una intrépida campaña en la que atravesó Europa hasta llegar a Oriente Medio. Hijo de una esclava negra y de un noble francés de raza blanca, Alex Dumas nació en Saint-Domingue (hoy Haití). Vendido como esclavo, consiguió llegar a París, donde estudió esgrima y se codeó con la flor y nata de la aristocracia. Cuando estalló la Revolución Francesa, ingresó en el ejército como soldado raso, pero después de hazañas legendarias fue el general al mando de un ejército de más de cincuenta mil hombres. Aunque llegó muy alto, Dumas siguió viviendo gracias a su audacia y a su dominio de la espada, que le permitieron hacer frente a difíciles situaciones de las que siempre salía airoso. Con todo, sus férreos principios terminaron convirtiéndolo en una amenaza para Napoleón. Cuando regresaba a Francia tras conquistar Egipto, su barco se hundió, y él, capturado por un misterioso enemigo, fue a parar a un calabozo, donde fue víctima de un lento envenenamiento. Y el destino que lo esperaba tras conseguir escapar de la prisión sería aún más «ponzoñoso». El conde negro es, a la vez, una vibrante historia rebosante de aventuras, un viaje desbordante de detalles por la historia europea de finales del siglo XVIII y una ventana a la primera sociedad multirracial del mundo moderno. Asimismo, es una narración entrañable sobre los duraderos vínculos del amor paternofilial. Basado en documentos, cartas, despachos militares y el diario que el general Dumas escribió en su cautiverio –documentos desconocidos hasta la fecha–, este libro es una obra maestra en el ámbito de la no ficción narrativa.",es,531,,,Anagrama,2014-10-19
La Reine Margot,Alexandre Dumas,Fiction,,es,610,,,Ediciones AKAL,2017-04-11
The Three Musketeers,Alexandre Dumas,,,es,633,,,,1977
